"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"General.Checkbox:Lock main menu window position","Position des Hauptmenüs sperren","Lock main menu position","Bloquear la posición del menú principal","Verrouiller la position du menu principal","Főmenü pozíciójának zárolása","Blocca posizione del menu","メインメニュー位置をロック","메인 메뉴 위치 잠금","Vergrendel positie van hoofdmenu","Zablokuj pozycję menu głównego","Travar a posição do menu principal","Закрепить позицию Главной панели меню","鎖定主選單的位置","锁定主菜单位置","Lock main menu position","Ana menü penceresinin yerini sabitle","Зафіксувати позицію вікна головного меню","Uzamknout pozici okna nabídky","Zamknúť pozíciu okna menu ","ล็อคตําแหน่งเมนูหลัก","Blocheaza poziția butonului de meniu fereseatra","","ﺔﻴﺴﻴﺋﺮﻟﺍ ﺔﻤﺋﺎﻘﻟﺍ ﻊﺿﻮﻣ ﻞﻔﻗ","Kuncikan posisi panel menu utama","Khóa vị trí bảng chính","Lukitse valikkoikkunan sijainti"
"General.Checkbox:Notify me about TM:PE startup conflicts","Zeige Fehlermeldung, wenn eine Mod-Inkompatibilität erkannt wurde","Notify me if there is an unexpected mod conflict","Notificarme si existe un conflicto inesperado con algún mod","Afficher un message d'erreur si un mod incompatible est détecté","Értesítsen, ha váratlan mod ütközés lép fel","Notify me if there is an unexpected mod conflict","modの非互換性が検出された場合にエラーメッセージを表示す","예기치 못한 모드 충돌이 있을 시 알림","Laat het me weten als er een onverwacht mod-conflict is","Powiadom mnie w razie nieoczekiwanej niezgodność modów","Notifique-me caso haja conflitos de mod inesperado","Сообщать о конфликтах запуска TM:PE ","偵測到衝突的模組時顯示通知","检测到不兼容的模组时显示提醒","Notify me if there is an unexpected mod conflict","Beni TM:PE başlangıç çatışmalarıyla ilgili bilgilendir","Повідомляти про конфлікти з іншими модами при старті TM:PE","Informovat pokud by mohlo dojít ke konfliktu s jiným módem","Informovať v prípade konfliktu z iným módom","หากม็อดเกิดความขัดแย้งที่ไม่คาดคิดโปรดแจ้งให้ฉันทราบ","Notifică-mă despre conflictele de pornire TM:PE","","ﻞﻳﺪﻌﺘﻟﺍ ﻲﻓ ﻊﻗﻮﺘﻣ ﺮﻴﻏ ﺽﺭﺎﻌﺗ ﻙﺎﻨﻫ ﻥﺎﻛ ﺍﺫﺇ ﻲﻨﻤﻠﻋﺃ","Kirimkan saya notifikasi jika terdapat konflik mod","Thông báo cho tôi nếu có xung đột mod không mong muốn","Ilmoita käynnistysongelmista"
"General.Slider:Overlay transparency","Overlaytransparenz","Overlay transparency","Transparencia de capa","Transparence de l'interface","Rátét átlátszósága","Trasparenza dello strato superiore","オーバーレイの透明度","오버레이 투명도","Overlay transparantie","Przezroczystość nakł.","Transparência da sobreposição","Прозрачность вспомогательной графики (оверлей)","堆疊透明度","图层透明度","Overlay transparency","Üstyazım saydamlığı","Прозорість допоміжної графіки","Průhlednost nabídky","Priehľadnosť menu","ความโปร่งใสของการทับซ้อน","Transparență suprapuneri","","ﺔﻴﻓﺎﻔﺸﻟﺍ ﺐﻛﺍﺮﺗ","Transparansi hamparan","Làm mờ hình nổi","Peitteen läpinäkyvyys"
"General.Tooltip.Format:Overlay transparency: {0}%","Overlaytransparenz: {0}%","Overlay transparency: {0}%","Transparencia de capa: {0}%","Transparence de l'interface: {0}%","Rátét átlásztósága: {0}%","Trasparenza dello strato superiore: {0}%","オーバーレイの透明度: {0}%","오버레이 투명도: {0}%","Overlay transparantie: {0}%","Przezroczystość nakł.: {0}%","Transparência da sobreposição: {0}%","Прозрачность вспомогательной графики: {0}%","堆疊透明度：{0} %","图层透明度: {0}%","Overlay transparency: {0}%","Üstyazım saydamlığı: {0}%","Прозорість допоміжної графіки: {0}%","Průhlednost nabídky: {0}%","Priehľadnosť menu: {0}%","ความโปร่งใสของการทับซ้อน: {0}%","Transparență suprapuneri: {0}%","","%{0} :ﺐﻛﺍﺮﺘﻟﺍ ﺔﻴﻓﺎﻔﺷ","Transparansi hamparan: {0}%","Độ mờ của hình nổi: {0}%","Peitteen läpinäkyvyys: {0}%"
"General.Dropdown:Select language","Sprache auswählen","Select language","Idioma","Langue","Nyelv kiválasztása","Lingua","言語","언어 선택","Taal","Język","Linguagem","Выберите язык мода","選擇語言","语言","Select language","Dil seçimi","Виберіть мову","Zvolte jazyk","Zvoľ jazyk","เลือกภาษา","Selectează Limba","","ﺔﻐﻠﻟﺍ ﺭﺎﺘﺧﺍ","Pilih bahasa","Chọn ngôn ngữ","Valitse kieli"
"General.Group:Simulation","Simulation","Simulation","Simulación","Simulation","Szimuláció","Simulazione","シミュレーション","시뮬레이션","Simulatie","Symulacja","Simulação","Симуляция","模擬","模拟","Simulation","Benzeşim","Моделювання","Simulace","Simulácia","การจำลอง","Simualare","","ﺓﺎﻛﺎﺤﻣ","Simulasi","Mô phỏng","Simulointi"
"General.Slider:Window transparency","Fenstertransparenz","Window opacity","Transparencia de ventana","Transparence de la fenêtre","Ablak átlátszósága","Trasparenza della finestra","ウィンドウの透明度","창 투명도","Transparantie van het venster","Przezroczystość okna","Transparência da janela","Прозрачность окна","視窗透明度","窗口不透明度","Window opacity","Pencere saydamlığı","Прозорість вікна","Průhlednost okna","Priehľadnosť okna","ความโปร่งใสของหน้าต่าง","Transparență Ferestrei","","ﺓﺬﻓﺎﻨﻟﺍ ﻢﻴﺘﻌﺗ","Kegelapan hamparan","Làm mờ cửa sổ","Ikkunan läpinäkyvyys"
"General.Tooltip.Format:Window transparency: {0}%","Fenstertransparenz: {0}%","Window opacity: {0}%","Transparencia: {0}%","Transparence de la fenêtre: {0}%","Ablak átlátszósága: {0}%","Trasparenza della finestra: {0}%","ウィンドウの透明度: {0}%","창 투명도: {0}%","Transparantie van het venster {0}%","Przezroczystość okna: {0}%","Transparência da janela: {0}%","Прозрачность окна: {0}%","視窗透明度：{0}%","窗口不透明度: {0}%","Window transparency: {0}%","Pencere saydamlığı: {0}%","Прозорість вікна: {0}%","Průhlednost okna: {0}%","Priehľadnosť okna: {0}%","ความโปร่งใสของหน้าต่าง: {0}%","Transparență Ferestrei: {0}%","","%{0} :ﺓﺬﻓﺎﻨﻟﺍ ﻢﻴﺘﻌﺗ","Kegelapan hamparan: {0}%","Độ mờ của cửa sổ: {0}%","Ikkunan läpinäkyvyys: {0}%"
"Keybind:Generic exit subtool key","Werkzeug und TM:PE Menü schließen","Exit tool and close TM:PE Menu","Salir de la herramienta y cerrar menú de TM:PE","Sortir de l'outil et fermer le menu TM:PE","Lépjen ki az eszközből, és zárja be a TM: PE menüt","Esci dallo strumento e chiudi il menù di TM:PE","ツールを終了しTM:PEメニューを閉じます","도구 및 TM:PE 메뉴 닫기","Verlaat de tool en sluit het TM:PE-menu","Wyłącz narzędzie i zamknij TM:PE menu","Sair da ferramenta e fechar o menu do TM:PE","Закрыть инструмент и меню TM:PE","退出工具並且關閉TM: PE選單","关闭工具与TM:PE主菜单","Exit tool and close TM:PE Menu","Çıkış ve TM:PE menüsünü kapatma","Загальна клавіша завершення роботи з інструментом","Zavřít nástroj a nabídku Traffic Managera","Zavrieť nástroj a menu Traffic Managera","ออกจากเครื่องมือและปิดเมนู TM:PE","Tasta generica pentru ieșire","","TM:PE ﺔﻤﺋﺎﻗ ﻕﻼﻏﺇﻭ ﺝﻭﺮﺨﻟﺍ ﺓﺍﺩﺃ","Keluar dari alat dan tutupkan menu TM:PE","Thoát và tắt bảng chọn TM:PE","Sulje työkalu ja valikko"
"Keybind.LaneConnector:Delete","Fahrspurverbindungen löschen","Clear lane connections","Borrar uniones de carril","Effacer la voie connectée","Sávcsatlakozások törlése","Elimina la connessione tra le corsie","車線接続をクリア","차선 연결 해제","Verwijder","Usuń połączenia pasów ruchu","Deletar","Очистить соединения полос движения","刪除","清除车道连接设置","Clear lane connections","Kaldır","Видалити","Vymazat spojení pruhů","Vymazať spojenie jazdných pruhov","ล้างการเชื่อมต่อเลน","Șterge","","ﺓﺭﺎﺤﻟﺍ ﺕﻼﺻﻭ ﺢﺴﻣ","Hapus perhubungan lajur","Xóa kết nối làn xe","Selkeät kaistaliittymät"
"Keybind.LaneConnector:Stay in lane","Fahrspurverbinder: Bleib auf der Fahrspur","Stay in lane","Mantenerse en el carril","Connecteur de voie : Rester sur sa voie","Maradjon a sávban","Resta nella corsia","車線変更不可","차선 유지","Blijf in lijn","Połącz pasy ruchu: Pozostań na pasie","Manter-se na faixa","Полосы движения: Оставаться в своей полосе","留在當下車道","辅助连接禁止变更车道","Stay in lane","Şeritte kal","Залишатися в смузі руху","Držet se pruhu","Držať sa jazdného pruhu","รักษาช่องทางวิ่ง","Rămâi în bandă","","ﺓﺭﺎﺤﻟﺎﺑ ﺀﺎﻘﺒﻟﺍ ﺕﺍﺭﺎﻴﺴﻟﺍ ﻲﻄﺨﺗ ﻊﻨﻣ","Tetap di lajur","Cấm chuyển làn","Pysy kaistalla"
"Keybind.Main:Junction restrictions tool","Werkzeug 'Kreuzungsbeschränkungen' verwenden","Use 'Junction Restrictions' Tool","Usar herramienta 'Restricción de cruces'","Utilisee l'outil 'Restrictions des carrefours'","'Csomópontkorlátozások' eszköz használata","Usa lo strumento ""Restrizioni d'incrocio""","「交差点の制限」ツールの使用","'교차로 규칙' 도구 사용","Gebruik de 'Knooppunt Beperkingen' Tool","Narzędzie 'Ograniczenia na skrzyżowaniu'","Utilizar a ferramenta 'Restrição de cruzamentos'","Инструмент ""Ограничения на перекрёстках""","路口限制工具","使用<路口管制>工具","Use 'Junction Restrictions' Tool","Kavşak kısıtlama aracı","Обмеження на перехресті","Použít nástroj ""řízení křižovatky""","Použiť nástroj ""riadenie križovatky""","ใช้เครื่องมือ 'ข้อจํากัดทางแยก'","Instrument de Restricție Intersecție","","ﻊﻃﺎﻘﺘﻟﺍ ﺩﻮﻴﻗ ﺓﺍﺩﺍ ﻡﺪﺨﺘﺳﺍ","Alat larangan persimpangan","Dùng công cụ 'Hạn chế giao lộ'","Käytä 'Liittymärajoitukset' työkalua"
"Keybind.Main:Lane arrow tool","Werkzeug 'Richtungspfeile' verwenden","Use 'Lane Arrow' Tool","Usar herramienta 'flechas de carril'","Utiliser l'outil 'Flèchage des voies'","'Előjelző nyíl' eszköz használata","Usa lo strumento ""Freccia di corsia""","「車線矢印」ツールの使用","'차선 화살표' 도구 사용","Gebruik de 'Rijstrookgeleiding Pijl' Tool","Narzędzie 'Strzałki pasów ruchu'","Utilizar a ferramenta 'Setas de faixa'","Инструмент ""Стрелки полос движения""","車道標線箭頭工具","使用<车道行车导向箭头>工具","Use 'Lane Arrow' Tool","Şerit oku aracı","Стрілки напрямів руху","Použít nástroj ""změna směru jízdních pruhů""","Použiť nástroj ""zmena smeru jazdných pruhov""","ใช้เครื่องมือ 'ลูกศรบนเลน'","Unealtă sensul benzilor","","""ﺓﺭﺎﺤﻟﺍ ﻢﻬﺳﺍ"" ﺓﺍﺩﺃ ﻡﺪﺨﺘﺳﺍ","Alat panah lajur","Dùng công cụ 'quy định hướng đi của làn đường'","Käytä 'Kaistanuoli' työkalua"
"Keybind.Main:Lane connections tool","Werkzeug 'Fahrspurverbinder' verwenden","Use 'Lane Connections' Tool","Usar herramienta 'conexiones de carril'","Utiliser l'outil 'Connections des voies'","'Sávcsatlakozó' eszköz használata","Usa lo strumento ""Connessioni tra le corsie""","「レーン接続」ツールの使用","'차선 연결' 도구 사용","Gebruik de 'Lijn connectie' Tool","Narzędzie 'Połącz pasy ruchu'","Utilizar a ferramenta 'Conector de Faixas'","Инструмент ""Соединения полос движения""","車道連接工具","使用<车道连接>工具","Use 'Lane Connections' Tool","Şerit birleştirme aracı","З'єднання смуг руху","Použít nástroj ""propojení jízdních pruhů""","Použiť nástroj ""prepojenie jazdných pruhov""","ใช้เครื่องมือ 'การเชื่อมต่อเลน'","Unealtă conector de benzi","","ﺕﺍﺭﺎﺤﻟﺍ ﻂﺑﺭ ﺓﺍﺩﺃ ﻡﺪﺨﺘﺳﺍ","Alat perhubungan lajur","Dùng công cụ 'Kết nối làn xe'","Käytä 'Kaistaliittymät' työkalua"
"Keybind.Main:Priority signs tool","Werkzeug 'Vorfahrtsschilder' verwenden","Use 'Priority Signs' Tool","Usar herramienta 'señales de prioridad'","Utilisee l'outil 'Routes prioritaires'","'Elsőbbségi jelek' eszköz használta","Usa lo strumento ""Segnali prioritari""","「優先標識」ツールの使用","'우선주행 표지판' 도구 사용","Gebruik 'Prioriteitsborden' Tool","Narzędzie 'Znaki pierwszeństwa'","Utilizar a ferramenta 'Placas de prioridade'","Инструмент ""Знаки приоритета""","優先通行標誌工具","使用<优先通行权设置>工具","Use 'Priority Signs' Tool","Öncelik işareti aracı","Знаки переваги руху","Použít nástroj ""úprava předností na křižovatce""","Použiť nástroj ""úprava prednosti na križovatke""","ใช้เครื่องมือ 'เครื่องหมายลําดับความสําคัญ'","Unealtă Semne de Prioritate","","""ﺔﻳﻮﻟﻭﻷﺍ ﺕﺍﺭﺎﺷﺇ"" ﺓﺍﺩﺃ ﻡﺪﺨﺘﺳﺍ","Alat rambu prioritas","Dùng công cụ 'Biển báo ưu tiên'","Käytä 'Etuoikeuskyltit' työkalua"
"Keybind.Main:Speed limits tool","Werkzeug 'Geschwindigkeitsbeschränkungen' verwenden","Use 'Speed Limits' Tool","Usar herramienta 'limites de velocidad'","Utiliser l'outil 'Limitation de vitesse'","'Sebességkorlátozó' eszköz használata","Usa lo strumento ""Limiti di velocità""","「速度制限」ツールの使用","'속도 제한' 도구 사용","Gebruik 'Snelheidslimieten' Tool","Narzędzie 'Limity prędkości'","Utilizar a ferramenta 'Limites de velocidade'","Инструмент ""Ограничения скорости""","速限工具","使用<道路速度限制>工具","Use 'Speed Limits' Tool","Azami hız aracı","Знаки обмеження швидкості","Použít nástroj ""omezení rychlosti""","Použiť nástroj ""obmedzenie rýchlosti""","ใช้เครื่องมือ 'จํากัดความเร็ว'","Intrument pentru limitele de viteză","","""ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ"" ﺓﺍﺩﺃ ﻡﺪﺨﺘﺳﺍ","Alat batas kecepatan","Dùng công cụ 'Giới hạn tốc độ'","Käytä 'Nopeusrajoitukset' työkalua"
