English,"Chinese Simplified","Chinese Traditional",Dutch,English,"English, United Kingdom",French,German,Hungarian,Italian,Japanese,Korean,Polish,Portuguese,Russian,Spanish,File
Nodes_and_segments,道路节点和段,道路交岔點和路段,"Kruisingen en segmenten","Nodes and segments","Nodes and segments","Intersections et segments","Knoten und Segmente","Csomópontok és szegmensek","Nodi e segmenti",交差点と道路の表示,"도로와 세그먼트(노드)","Pokaż węzły i segmenty","Cruzamentos e segmentos","Узлы и сегменты","Cruces y segmentos",Strings.csv
Lanes,车道,車道,Rijkstroken,Lanes,Lanes,Voies,Fahrspuren,Sávok,Corsie,車線,차선,Pasy,Faixas,Полосы,Vías,Strings.csv
Path_Of_Evil_(10_%),"无视法纪 (10 %)",馬路我最大(10%),"Route des kwaads (10 %)","Path Of Evil (10 %)","Path Of Evil (10 %)","Chemin du Mal (10 %)","Pfad des Bösen (10 %)","A gonosz ösvénye (10%)","Molto elevata (10 %)","悪路 (10 %)","악마의 도로 (10 %)","Diabelska Ścieżka (10 %)","Caminho do mal (10 %)","Дорога зла (10 %)","El mismo infierno (10 %)",Strings.csv
Rush_Hour_(5_%),"鲁莽驾驶 (5 %)",上班趕時間(5%),"Spitsuur (5 %)","Rush Hour (5 %)","Rush Hour (5 %)","Heure de Pointe (5 %)","Feierabendverkehr (5 %)","Csúcsforgalom (5%)","Elevata (5 %)","ラッシュアワー (5 %)","출퇴근정도의 혼잡  (5 %)","Godziny Szczytu (5 %)","Hora do Rush (5 %)","Час пик (5 %)","Hora Punta (5 %)",Strings.csv
Minor_Complaints_(2_%),"稍有违法 (2 %)",對不起借過(2%),"Enige klachten (2 %)","Minor Complaints (2 %)","Minor Complaints (2 %)","Plaintes mineures (2 %)","Einige Beschwerden (2 %)","Kisebb panaszok (2%)","Modesta (2 %)","ほとんど不満なし (2 %)","사소한 불평들 (2 %)","Drobne Skargi (2 %)","Reclamações de menor importância (2 %)","Немного жалоб (2 %)","Colisiones menores (2 %)",Strings.csv
Holy_City_(0_%),"遵纪守法 (0 %)",守法乖寶寶(0%),"Heilige stad (0 %)","Holy City (0 %)","Holy City (0 %)","Ville Sainte (0 %)","Heilige Stadt (0 %)","Szent város (0%)","Pacifica (0 %)","天国 (0 %)","평온한 도시 (0 %)","Święte Miasto (0 %)","Cidade Santa (0 %)","Святой город (0 %)","Ciudad divina (0 %)",Strings.csv
Forget_toggled_traffic_lights,重置所有红绿灯设置,放棄設定的交通燈號,"Stoplichtaanpassingen vergeten","Forget toggled traffic lights","Forget toggled traffic lights","Oublier les feux tricolores retirés","Gesetzte/Entfernte Ampeln vergessen","Felejtsd el a kapcsolt lámpákat","""Dimentica"" semafori impostati",付け外しした信号を元に戻す,"선택된 신호등 잊기","Unuń ustawione sygnalizacje czasowe","Esquecer os semáforos alternados","Забыть расположение светофоров","Borrar semáforos (no afecta semáforos programados)",Strings.csv
Road_is_already_in_a_group!,道路已经在组合中,道路已在連鎖群組中,"Weg behoort reeds tot een groep!","Road is already in a group!","Road is already in a group!","Cette route est déjà dans un groupe !","Straße ist bereits in einer Gruppe!","Az Road már van egy csoportban!","La strada è già in un gruppo!",この道路は既にグループ内にあります！,"도로에 이미 완성된 그룹이 있습니다!","Droga jest już w grupie","Pista já esta em um grupo!","Дорога уже находится в группе!","¡La calle ya está en un grupo!",Strings.csv
All_selected_roads_must_be_of_the_same_type!,所有选中的道路必须是同一类型的,所有選擇的道路必須是同類型的,"Alle geselecteerde wegen moeten van hetzelfde soort zijn!","All selected roads must be of the same type!","All selected roads must be of the same type!","Toutes les routes sélectionnées doivent être du même type !","Alle ausgewählten Straßen müssen vom gleichen Typ sein!","Minden kiválasztott útnak azonos típusúnak kell lennie!","Tutte le strade selezionate devono essere dello stesso tipo!",選択する道路は全て同じタイプである必要があります！,"같은 유형의 도로가 선택되어 있습니다!","Wszystkie zaznaczone drogi muszą być tego samego typu","Todas as pistas selecionadas devem ser do mesmo tipo!","Все выбранные дороги должны быть одинакового типа!","¡Todas las calles deben ser del mismo tipo!",Strings.csv
Create_group,创建组合,創建連鎖群組,"Gruppe aanmaken","Create group","Create group","Créer un groupe","Gruppe erstellen","Csoport létrehozása","Crea gruppo",グループの作成,"그룹 생성","Stwórz grupę","Criar grupo","Создать группу","Crear Grupo",Strings.csv
Delete_group,删除组合,刪除連鎖群組,"Gruppe verwijderen","Delete group","Delete group","Supprimer un groupe","Gruppe löschen","Csoport törlése","Elimina gruppo",グループの削除,"그룹 제거","Skasuj grupę","Apagar grupo","Удалить группу","Borrar Grupo",Strings.csv
Add_zoning,添加分区,增加區劃,"Zones activeren","Add zoning","Add zoning","Ajouter le zonage","Zonen aktivieren","Adjon hozzá zónát","Aggiungi zoning",区間の追加,"지역설정 추가","Aktywuj Strefy","Adicionar zoneamento","Добавить зонирование","Agregar zona",Strings.csv
Remove_zoning,删除分区,移除區劃,"Zones verwijderen","Remove zoning","Remove zoning","Retirer le zonage","Zonen löschen","Távolítsa el a körzetet","Rimuovi zoning",区間の削除,"지역설정 제거","Skasuj Strefy","Remover zoneamento","Удалить зонирование","Borrar zona",Strings.csv
Lane_Arrow_Changer_Disabled_Highway,不能改变这条车道的箭头因已启用高速公路特定规则,改變車道遵行方向的功能已關閉，因為您已施行高速公路特規行駛系統,"Het is niet mogelijk de voorrangspijlen op deze rijstroom te veranderen, omdat je de speciale regels voor snelwegen geactiveerd hebt.","The lane arrow changer for this lane is disabled because you activated the highway rule system.","The lane arrow changer for this lane is disabled because you activated the highway rule system.","Le modificateur de directions pour cette voie est désactivé car vous avez activé le système de règles pour autoroutes.","Die Richtungspfeile für diese Spur können nicht geändert werden, weil du die speziellen Regeln für Autobahnen aktiviert hast.","Ennek a sávnak a sáv nyílváltója le van tiltva, mert aktiválta az autópálya-szabályrendszert.","La modifica delle frecce di direzione per questa corsia è disabilitata perchè è attivo il sistema di regole autostradali predefinito. Puoi disabilitarlo nelle opzioni alla voce ""Abilita regolazione specifica per le corsie autostradali"".",高速道路ルールシステムを適用しているため、この車線の矢印は変更できません,"고속도로 시스템 규칙으로 인해 이 도로 화살표는 변경 할 수 없습니다(발전된 차량 AI기능 참고)","Zmiana strzałek pasów została wyłączona dla tego pasa ponieważ aktywowałeś/łaś Zmienione zasady łączenia pasów dla Autostrad","O trocador de seta de pista esta desabilitado porque você ativou o sistema de regras para rodovia.","Изменение стрелки полосы для этого перекрёстка отключено, по причине вашей активации системы правил шоссе.","El editor de flechas está desactivado debido a que has activado el control de autopistas.",Strings.csv
Add_junction_to_timed_light,向定时红绿灯添加一路口,將此交岔路口加入號誌燈時相連鎖,"Kruising aan stoplicht toevoegen","Add a junction to this traffic light","Add a junction to this traffic light","Ajouter une intersection à ce feu tricolore","Kreuzung zur Ampel hinzufügen","Adjunk egy kereszteződést ehhez a lámpához","Aggiungi un incrocio a questo semaforo",この信号に交差点を追加,"교차로 신호등 추가","Dodaj skrzyżowanie do tego węzła sygnalizacji","Adicionar cruzamento ao semáforo","Добавить перекрёсток в список","Agregar cruce a este conjunto temporizador",Strings.csv
Remove_junction_from_timed_light,从定时红绿灯移除一路口,將此交岔路口移出號誌燈時相連鎖,"Kruising van stoplicht verwijderen","Remove a junction from this traffic light","Remove a junction from this traffic light","Retirer une intersection de ce feu tricolore","Kreuzung von der Ampel entfernen","Távolítson el egy kereszteződést ebből a lámpából","Rimuovi un incrocio a questo semaforo",この信号から交差点を削除,"교차로 신호등 제거","Wyklucz skrzyżowanie z tego węzła sygnalizacji","Remover cruzamento do semáforo","Убрать перекрёсток из списка","Remover cruce de este conjunnto temporizador",Strings.csv
Select_junction,选择一路口,選取一處道路交叉點,"Selecteer een kruising","Select a junction","Select a junction","Sélectionnez une intersection","Wähle eine Kreuzung aus","Válasszon egy kereszteződést","Seleziona un incrocio",交差点を選択してください,"교차로 선택","Wybierz skrzyżowanie","Selecionar cruzamento","Добавление перекрёстка в список","Seleccionar un cruce",Strings.csv
Cancel,取消,取消,Afbreken,Cancel,Cancel,Annuler,Abbrechen,Megszünteti,Annulla,キャンセル,취소,Anuluj,Cancelar,Отмена,Cancelar,Strings.csv
Speed_limits,道路限速设置,速限,Snelheidslimiet,"Speed limits","Speed limits","Limitations de vitesse",Geschwindigkeitsbeschränkungen,"Sebesség határok","Limiti di velocità",速度制限,"속도 제한","Ograniczenia prędkości","Limite de Velocidade","Ограничение скорости","Límites de velocidad",Strings.csv
Persistently_visible_overlays,持续可见的覆盖,固定檢視的項目,"Permanent zichtbare projecties","Persistently visible overlays","Persistently visible overlays","Annonces en superposition visibles de façon permanente","Dauerhaft sichtbare Overlays","Tartósan látható átfedések","Overlays visibili persistentemente",オーバーレイ表示し続ける情報,"화면에 출력할 코드 선택","Trwale widoczne nakładki","Sobreposições persistentemente visíveis","Постоянно видимые оверлеи","Datos mostrados en el juego",Strings.csv
Priority_signs,优先通行权设置,優先通行權標誌,Voorrangsborden,"Priority signs","Priority signs","Signes de priorité",Vorfahrtsschilder,"Elsőbbségi jelek","Segnali stradali",優先関係標識,"교통 표지판","Znaki pierwszeństwa","Placas de preferência","Знаки приоритета","Señales de prioridad",Strings.csv
Vehicles_may_do_u-turns_at_junctions,车辆可在路口掉头,車輛可在路口迴轉,"Voertuigen kunnen u-bochten op kruisingen maken","Vehicles may do u-turns at junctions","Vehicles may do u-turns at junctions","Les véhicules peuvent faire demi-tour aux intersections","Fahrzeuge dürfen an Kreuzungen wenden","A járművek kereszteződéseknél fordulást tehetnek","I veicoli possono effettuare una svolta a ""U"" all'incrocio",交差点でのUターンを許可,"교차로에서 차량이 유턴 할 수 있습니다.","Pojazdy mogą zawracać na skrzyżowaniach","Veículos podem fazer retorno nos cruzamentos","Транспорт может разворачиваться на перекрёстках","Los vehículos pueden hacer giros en ""U"" en los cruces",Strings.csv
Vehicles_going_straight_may_change_lanes_at_junctions,直行车辆可以在路口变更车道,直行車可在交岔路口上變換車道,"Voertuigen mogen van rijstrook wisselen als ze rechtdoor op kruisingen rijden","Vehicles going straight on may change lanes at junctions","Vehicles going straight on may change lanes at junctions","Les véhicules allant tout droit peuvent changer de voie aux intersections","Fahrz. dürfen die Spur wechseln, wenn sie an Kreuzungen geradeaus fahren","Az egyenesen haladó járművek megváltoztathatják a sávokat a kereszteződéseknél","I veicoli che proseguono dritto possono cambiare corsia all'incrocio",直進車両の交差点での車線変更を許可,"교차로에서 차량이 차선을 변경 할 수 있습니다.","Pojazdy jadące na wprost mogą zmieniać pasy ruchu na skrzyżowaniach","Veículos seguindo reto pode mudar de faixa nos cruzamentos","Транспорт, идущий прямо, может перестраиваться на соседнюю полосу","Los vehículos que circulan recto pueden cambiar de pista en intersecciones",Strings.csv
Allow_u-turns,允许车辆掉头,允許迴轉,"U-bochten toestaan","Allow u-turns","Allow u-turns","Autoriser les demi-tours","Wenden erlauben","Engedje meg a fordulást","Permetti le svolte a ""U""",Uターンを許可,"유턴 허가","Zezwól na zawracanie","Permitir retornos","Разрешить разворачиваться","Permitir giros en ""U""",Strings.csv
Allow_lane_changing_for_vehicles_going_straight,允许直行车辆变更车道,允許直行車變換車道,"Wisselen van rijstook toestaan voor voertuigen die rechtdoor rijden","Allow lane changing for vehicles going straight","Allow lane changing for vehicles going straight","Autoriser le changement de voie pour les véhicules allant tout droit","Spurwechsel für Fahrzeuge erlauben, die geradeaus fahren","Engedélyezze a sávváltást az egyenesen haladó járműveknél","Permetti il cambio corsia per i veicoli che proseguono dritto all'incrocio",直進車両の車線変更を許可,"직진하는 차량의 차선 변경을 허가","Zezwól na zmianę pasa ruchu dla pojazdów jadących na wprost","Permitir mudança de faixa para veículos seguindo reto","Транспорт, идущий прямо, может менять полосу","Permitir cambio de pista a los vehículos que circulan recto",Strings.csv
